product_id,product_name,category,subcategory,gender,color,size,fit,material,brand,price_inr,rating,season,description
PRD1001,Nike Unisex's Green Slim Fit Casual Button-Down,shirts,Casual Button-Down,Unisex,Green,S,Slim Fit,Linen,Nike,3549,4.6,Summer,"Top-rated Nike casual button-down featuring premium Green Linen. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1002,H&M Women's Black Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Black,M,Slim Fit,Cotton,H&M,2849,4.4,Summer,"Top-rated H&M oxford cotton shirt featuring premium Black Cotton. Tailored to a comfortable Slim Fit, ideal for everyday wear during Summer."
PRD1003,Allen Solly Women's Red Regular Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Women,Red,M,Regular Fit,Rayon,Allen Solly,2499,4.0,Summer,"Elevate your look with this stylish Red oxford cotton shirt by Allen Solly. Designed in a comfortable Regular Fit using high-grade Rayon, perfect for casual or semi-formal outings."
PRD1004,Allen Solly Men's Blue Regular Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Blue,L,Regular Fit,Cotton,Allen Solly,3249,3.9,Spring,"Crafted from premium Cotton, this Allen Solly Blue linen resort shirt offers exceptional comfort and durability for Spring wardrobe styling. Features a sleek Regular Fit design."
PRD1005,Jack & Jones Men's Grey Slim Fit Oxford Cotton Shirt,shirts,Oxford Cotton Shirt,Men,Grey,XXL,Slim Fit,Rayon,Jack & Jones,2249,4.4,All-Season,"Crafted from premium Rayon, this Jack & Jones Grey oxford cotton shirt offers exceptional comfort and durability for All-Season wardrobe styling. Features a sleek Slim Fit design."
PRD1006,Zara Women's Blue Slim Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Blue,L,Slim Fit,Cotton,Zara,2649,4.5,Spring,"Essential Zara Women's formal dress shirt tailored with a modern Slim Fit. Made of soft, breathable Cotton in rich Blue. Ideal choice for Spring."
PRD1007,FabIndia Women's Red Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Women,Red,S,Relaxed Fit,Rayon,FabIndia,3249,4.5,All-Season,"Top-rated FabIndia linen resort shirt featuring premium Red Rayon. Tailored to a comfortable Relaxed Fit, ideal for everyday wear during All-Season."
PRD1008,Puma Women's Grey Regular Fit Formal Dress Shirt,shirts,Formal Dress Shirt,Women,Grey,L,Regular Fit,Linen,Puma,999,3.8,All-Season,"Crafted from premium Linen, this Puma Grey formal dress shirt offers exceptional comfort and durability for All-Season wardrobe styling. Features a sleek Regular Fit design."
PRD1009,Tommy Hilfiger Women's Blue Slim Fit Checked Flannel Shirt,shirts,Checked Flannel Shirt,Women,Blue,XL,Slim Fit,Rayon,Tommy Hilfiger,2399,4.8,Summer,Stay fashion-forward with this versatile Blue checked flannel shirt from Tommy Hilfiger. Includes a refined Slim Fit profile and high quality Rayon fabric.
PRD1010,Roadster Men's Red Relaxed Fit Linen Resort Shirt,shirts,Linen Resort Shirt,Men,Red,XXL,Relaxed Fit,Rayon,Roadster,2549,4.8,All-Season,Stay fashion-forward with this versatile Red linen resort shirt from Roadster. Includes a refined Relaxed Fit profile and high quality Rayon fabric.
